HITId	HITTypeId	Title	Reward	AssignmentId	WorkerId	AssignmentStatus	WorkTimeInSeconds	LifetimeApprovalRate	Input1ID	Input2ID	Input3ID	AnswerID	AnswerLabel	FixPosition	FixValue
1	7QT	Is this triple correct or incorrect?	$0.50	1	2133ICYWE97	Submitted	60	99%	wd:Q11621	wdt:P2142	792910554	1.0	CORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	3	928UJANWZ12	Submitted	50	98%	wd:Q11621	wdt:P2142	792910554	2.0	INCORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	7	2133ICYWE97	Submitted	120	99%	wd:Q603545	wdt:P2142	4300000	1.0	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	8	928UJANWZ12	Submitted	60	98%	wd:Q603545	wdt:P2142	4300000	1.0	CORRECT		
3	7QT	Is this triple correct or incorrect?	$0.50	11	2133ICYWE97	Submitted	140	99%	wd:Q16911843	wdt:P577	2014-01-18	2.0	INCORRECT	Object	2014-02-18
3	7QT	Is this triple correct or incorrect?	$0.50	12	928UJANWZ12	Submitted	80	98%	wd:Q16911843	wdt:P577	2014-01-18	1.0	CORRECT		
4	7QT	Is this triple correct or incorrect?	$0.50	16	2133ICYWE97	Submitted	120	99%	wd:Q132863	wdt:P2142	969023261	2.0	INCORRECT	Object	
4	7QT	Is this triple correct or incorrect?	$0.50	17	928UJANWZ12	Submitted	240	98%	wd:Q132863	wdt:P2142	969023261	2.0	INCORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	21	2133ICYWE97	Submitted	120	99%	wd:Q1628022	wdt:P577	1951-01-01	1.0	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	23	928UJANWZ12	Submitted	240	98%	wd:Q1628022	wdt:P577	1951-01-01	1.0	CORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	26	928UJANWZ12	Submitted	60	98%	wd:Q48313910	wdt:P577	2018-02-24	1.0	CORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	29	2133ICYWE97	Submitted	120	99%	wd:Q48313910	wdt:P577	2018-02-24	2.0	INCORRECT	Object	2019-02-24
7	7QT	Is this triple correct or incorrect?	$0.50	31	2133ICYWE97	Submitted	60	99%	wd:Q171300	wdt:P2142	267000000	1.0	CORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	32	928UJANWZ12	Submitted	50	98%	wd:Q171300	wdt:P2142	267000000	1.0	CORRECT		
8	7QT	Is this triple correct or incorrect?	$0.50	36	2133ICYWE97	Submitted	120	99%	wd:Q217010	wdt:P2142	698491347	2.0	INCORRECT		
8	7QT	Is this triple correct or incorrect?	$0.50	37	928UJANWZ12	Submitted	240	98%	wd:Q217010	wdt:P2142	698491347	2.0	INCORRECT	Object	698491348
9	7QT	Is this triple correct or incorrect?	$0.50	41	2133ICYWE97	Submitted	120	99%	wd:Q4993462	wdt:P577	2008-08-29	2.0	INCORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	42	928UJANWZ12	Submitted	60	98%	wd:Q4993462	wdt:P577	2008-08-29	2.0	INCORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	46	2133ICYWE97	Submitted	60	99%	wd:Q7033842	wdt:P577	1996-06-01	1.0	CORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	48	928UJANWZ12	Submitted	50	98%	wd:Q7033842	wdt:P577	1996-06-01	2.0	INCORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	51	2133ICYWE97	Submitted	120	99%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	52	928UJANWZ12	Submitted	240	98%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT	Object	wd:Q72
12	7QT	Is this triple correct or incorrect?	$0.50	56	2133ICYWE97	Submitted	120	99%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT		
12	7QT	Is this triple correct or incorrect?	$0.50	57	928UJANWZ12	Submitted	240	98%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	61	2133ICYWE97	Submitted	120	99%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	2.0	INCORRECT	Object	wd:Q94074
13	7QT	Is this triple correct or incorrect?	$0.50	62	928UJANWZ12	Submitted	240	98%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1.0	CORRECT		
14	7QT	Is this triple correct or incorrect?	$0.50	66	2133ICYWE97	Submitted	120	99%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	2.0	INCORRECT		
14	7QT	Is this triple correct or incorrect?	$0.50	67	928UJANWZ12	Submitted	240	98%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	2.0	INCORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	71	2133ICYWE97	Submitted	120	99%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1.0	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	72	928UJANWZ12	Submitted	240	98%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1.0	CORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	76	2133ICYWE97	Submitted	60	99%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	2.0	INCORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	77	928UJANWZ12	Submitted	50	98%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	1.0	CORRECT		
17	7QT	Is this triple correct or incorrect?	$0.50	81	2133ICYWE97	Submitted	60	99%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	2.0	INCORRECT	Object	wd:Q95073
17	7QT	Is this triple correct or incorrect?	$0.50	83	928UJANWZ12	Submitted	50	98%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	2.0	INCORRECT	Object	
18	7QT	Is this triple correct or incorrect?	$0.50	86	2133ICYWE97	Submitted	120	99%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	87	928UJANWZ12	Submitted	240	98%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	91	2133ICYWE97	Submitted	140	99%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	92	928UJANWZ12	Submitted	80	98%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT		
20	7QT	Is this triple correct or incorrect?	$0.50	96	2133ICYWE97	Submitted	120	99%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT		
20	7QT	Is this triple correct or incorrect?	$0.50	97	928UJANWZ12	Submitted	236	98%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	101	2133ICYWE97	Submitted	140	99%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	1.0	CORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	102	928UJANWZ12	Submitted	80	98%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	2.0	INCORRECT		
22	8QT	Is this triple correct or incorrect?	$0.50	106	AALKMII98	Submitted	337	98%	wd:Q1720855	wdt:P577	2010-10-01	2.0	INCORRECT	Object	2010-01-01
22	8QT	Is this triple correct or incorrect?	$0.50	107	HHCKW1111	Submitted	199	80%	wd:Q1720855	wdt:P577	2010-10-01	1.0	CORRECT		
23	8QT	Is this triple correct or incorrect?	$0.50	111	AALKMII98	Submitted	237	98%	wd:Q598752	wdt:P577	2001-01-01	2.0	INCORRECT	Object	2011-01-01
23	8QT	Is this triple correct or incorrect?	$0.50	112	HHCKW1111	Submitted	200	80%	wd:Q598752	wdt:P577	2001-01-01	2.0	INCORRECT	Object	2011-01-01
24	8QT	Is this triple correct or incorrect?	$0.50	116	AALKMII98	Submitted	240	98%	wd:Q427386	wdt:P2142	176997186	2.0	INCORRECT	Object	176997168
24	8QT	Is this triple correct or incorrect?	$0.50	117	HHCKW1111	Submitted	200	80%	wd:Q427386	wdt:P2142	176997186	1.0	CORRECT		
