HITId	HITTypeId	Title	Reward	AssignmentId	WorkerId	AssignmentStatus	WorkTimeInSeconds	LifetimeApprovalRate	Input1ID	Input2ID	Input3ID	AnswerID	AnswerLabel	FixPosition	FixValue
1	7QT	Is this triple correct or incorrect?	$0.50	2	2133U7HKDLO	Submitted	40	40%	wd:Q11621	wdt:P2142	792910554	1.0	CORRECT	yes	yes
1	7QT	Is this triple correct or incorrect?	$0.50	4	1726JMZQW	Submitted	80	70%	wd:Q11621	wdt:P2142	792910554	1.0	CORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	5	2134U7HKDMM	Submitted	2	70%	wd:Q11621	wdt:P2142	792910554	1.0	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	6	2134U7HKDMM	Submitted	2	70%	wd:Q603545	wdt:P2142	4300000	2.0	INCORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	9	1726JMZQW	Submitted	90	70%	wd:Q603545	wdt:P2142	4300000	1.0	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	10	2133U7HKDLO	Submitted	40	40%	wd:Q603545	wdt:P2142	4300000	1.0	CORRECT	yes	yes
3	7QT	Is this triple correct or incorrect?	$0.50	13	2134U7HKDMM	Submitted	2	70%	wd:Q16911843	wdt:P577	2014-01-18	2.0	INCORRECT		
3	7QT	Is this triple correct or incorrect?	$0.50	14	2133U7HKDLO	Submitted	46	40%	wd:Q16911843	wdt:P577	2014-01-18	1.0	CORRECT	yes	yes
3	7QT	Is this triple correct or incorrect?	$0.50	15	1726JMZQW	Submitted	300	70%	wd:Q16911843	wdt:P577	2014-01-18	1.0	CORRECT		
4	7QT	Is this triple correct or incorrect?	$0.50	18	2133U7HKDLO	Submitted	40	40%	wd:Q132863	wdt:P2142	969023261	1.0	CORRECT	yes	yes
4	7QT	Is this triple correct or incorrect?	$0.50	19	1726JMZQW	Submitted	240	70%	wd:Q132863	wdt:P2142	969023261	2.0	INCORRECT	Object	
4	7QT	Is this triple correct or incorrect?	$0.50	20	2134U7HKDMM	Submitted	2	70%	wd:Q132863	wdt:P2142	969023261	1.0	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	22	2133U7HKDLO	Submitted	40	40%	wd:Q1628022	wdt:P577	1951-01-01	1.0	CORRECT	yes	yes
5	7QT	Is this triple correct or incorrect?	$0.50	24	1726JMZQW	Submitted	240	70%	wd:Q1628022	wdt:P577	1951-01-01	1.0	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	25	2134U7HKDMM	Submitted	2	70%	wd:Q1628022	wdt:P577	1951-01-01	2.0	INCORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	27	1726JMZQW	Submitted	90	70%	wd:Q48313910	wdt:P577	2018-02-24	2.0	INCORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	28	2133U7HKDLO	Submitted	40	40%	wd:Q48313910	wdt:P577	2018-02-24	1.0	CORRECT	yes	yes
6	7QT	Is this triple correct or incorrect?	$0.50	30	2134U7HKDMM	Submitted	2	70%	wd:Q48313910	wdt:P577	2018-02-24	1.0	CORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	33	2134U7HKDMM	Submitted	2	70%	wd:Q171300	wdt:P2142	267000000	2.0	INCORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	34	1726JMZQW	Submitted	80	70%	wd:Q171300	wdt:P2142	267000000	2.0	INCORRECT	Object	
7	7QT	Is this triple correct or incorrect?	$0.50	35	2133U7HKDLO	Submitted	32	40%	wd:Q171300	wdt:P2142	267000000	1.0	CORRECT	yes	yes
8	7QT	Is this triple correct or incorrect?	$0.50	38	1726JMZQW	Submitted	240	70%	wd:Q217010	wdt:P2142	698491347	2.0	INCORRECT	Object	
8	7QT	Is this triple correct or incorrect?	$0.50	39	2133U7HKDLO	Submitted	39	40%	wd:Q217010	wdt:P2142	698491347	1.0	CORRECT	yes	yes
8	7QT	Is this triple correct or incorrect?	$0.50	40	2134U7HKDMM	Submitted	2	70%	wd:Q217010	wdt:P2142	698491347	1.0	CORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	43	1726JMZQW	Submitted	90	70%	wd:Q4993462	wdt:P577	2008-08-29	2.0	INCORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	44	2133U7HKDLO	Submitted	46	40%	wd:Q4993462	wdt:P577	2008-08-29	1.0	CORRECT	yes	yes
9	7QT	Is this triple correct or incorrect?	$0.50	45	2134U7HKDMM	Submitted	2	70%	wd:Q4993462	wdt:P577	2008-08-29	1.0	CORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	47	2133U7HKDLO	Submitted	45	40%	wd:Q7033842	wdt:P577	1996-06-01	1.0	CORRECT	yes	yes
10	7QT	Is this triple correct or incorrect?	$0.50	49	1726JMZQW	Submitted	80	70%	wd:Q7033842	wdt:P577	1996-06-01	2.0	INCORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	50	2134U7HKDMM	Submitted	2	70%	wd:Q7033842	wdt:P577	1996-06-01	2.0	INCORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	53	1726JMZQW	Submitted	240	70%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	54	2134U7HKDMM	Submitted	2	70%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	2.0	INCORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	55	2133U7HKDLO	Submitted	44	40%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	1.0	CORRECT	yes	yes
12	7QT	Is this triple correct or incorrect?	$0.50	58	2133U7HKDLO	Submitted	40	40%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT	yes	yes
12	7QT	Is this triple correct or incorrect?	$0.50	59	1726JMZQW	Submitted	240	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1.0	CORRECT		
12	7QT	Is this triple correct or incorrect?	$0.50	60	2134U7HKDMM	Submitted	2	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	2.0	INCORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	63	2134U7HKDMM	Submitted	2	70%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1.0	CORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	64	1726JMZQW	Submitted	240	70%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1.0	CORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	65	2133U7HKDLO	Submitted	40	40%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1.0	CORRECT	yes	yes
14	7QT	Is this triple correct or incorrect?	$0.50	68	2133U7HKDLO	Submitted	42	40%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	1.0	CORRECT	yes	yes
14	7QT	Is this triple correct or incorrect?	$0.50	69	1726JMZQW	Submitted	240	70%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	2.0	INCORRECT		
14	7QT	Is this triple correct or incorrect?	$0.50	70	2134U7HKDMM	Submitted	2	70%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	1.0	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	73	1726JMZQW	Submitted	240	70%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1.0	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	74	2133U7HKDLO	Submitted	39	40%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1.0	CORRECT	yes	yes
15	7QT	Is this triple correct or incorrect?	$0.50	75	2134U7HKDMM	Submitted	2	70%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	2.0	INCORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	78	1726JMZQW	Submitted	80	70%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	1.0	CORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	79	2133U7HKDLO	Submitted	43	40%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	1.0	CORRECT	yes	yes
16	7QT	Is this triple correct or incorrect?	$0.50	80	2134U7HKDMM	Submitted	2	70%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	2.0	INCORRECT		
